report_id,store_id,report_date,report_type,severity,issue_category,description,status,reported_by
RPT-USR-001-001,USR-001,2026-04-27,inventory_audit,medium,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-001-002,USR-001,2026-04-21,loss_prevention,low,safety,Blocked emergency exit path noted during walkthrough,open,mystery_shopper
RPT-USR-001-003,USR-001,2026-04-19,safety_audit,high,staffing,Insufficient coverage during peak hours — checkout and service desk,in_progress,store_manager
RPT-USR-001-004,USR-001,2025-08-31,facilities,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,store_manager
RPT-USR-001-005,USR-001,2025-10-20,inventory_audit,low,shrink,Elevated shrink pattern detected near self-checkout area,open,district_manager
RPT-USR-001-006,USR-001,2025-12-17,loss_prevention,medium,signage,Promotional signage expired or missing on endcap displays,resolved,mystery_shopper
RPT-USR-002-001,USR-002,2025-11-13,district_visit,low,staffing,Insufficient coverage during peak hours — checkout and service desk,in_progress,mystery_shopper
RPT-USR-002-002,USR-002,2025-07-26,facilities,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,district_manager
RPT-USR-002-003,USR-002,2025-11-03,safety_audit,high,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,store_manager
RPT-USR-002-004,USR-002,2026-04-08,district_visit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,mystery_shopper
RPT-USR-002-005,USR-002,2026-03-08,mystery_shop,low,safety,Blocked emergency exit path noted during walkthrough,in_progress,mystery_shopper
RPT-USR-002-006,USR-002,2025-11-17,loss_prevention,low,signage,Promotional signage expired or missing on endcap displays,in_progress,mystery_shopper
RPT-USR-002-007,USR-002,2025-12-18,mystery_shop,medium,safety,Blocked emergency exit path noted during walkthrough,resolved,district_manager
RPT-USR-003-001,USR-003,2026-03-27,loss_prevention,medium,equipment,Refrigeration unit temperature fluctuation logged in dairy section,open,mystery_shopper
RPT-USR-003-002,USR-003,2025-09-15,loss_prevention,medium,planogram,Shelf tags misaligned with planogram — facings not compliant,open,store_manager
RPT-USR-003-003,USR-003,2026-04-23,district_visit,medium,shrink,Elevated shrink pattern detected near self-checkout area,resolved,loss_prevention
RPT-USR-003-004,USR-003,2025-10-20,inventory_audit,high,safety,Blocked emergency exit path noted during walkthrough,resolved,loss_prevention
RPT-USR-003-005,USR-003,2026-06-18,inventory_audit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,in_progress,district_manager
RPT-USR-003-006,USR-003,2026-01-05,safety_audit,low,inventory,Cycle count variance exceeds threshold in high-shrink categories,open,district_manager
RPT-USR-003-007,USR-003,2026-02-28,loss_prevention,medium,cleaning,Backroom and sales floor cleaning below standard — debris in aisles,in_progress,loss_prevention
RPT-USR-003-008,USR-003,2026-03-29,mystery_shop,medium,shrink,Elevated shrink pattern detected near self-checkout area,open,district_manager
RPT-USR-003-009,USR-003,2026-05-12,district_visit,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,store_manager
RPT-USR-003-010,USR-003,2026-03-17,loss_prevention,low,signage,Promotional signage expired or missing on endcap displays,open,store_manager
RPT-USR-003-011,USR-003,2026-04-01,district_visit,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,mystery_shopper
RPT-USR-004-001,USR-004,2025-10-11,mystery_shop,low,safety,Blocked emergency exit path noted during walkthrough,in_progress,mystery_shopper
RPT-USR-004-002,USR-004,2026-04-10,mystery_shop,medium,shrink,Elevated shrink pattern detected near self-checkout area,in_progress,store_manager
RPT-USR-004-003,USR-004,2025-10-11,safety_audit,low,customer_service,Wait times exceed SLA at service desk during weekend peak,in_progress,district_manager
RPT-USR-004-004,USR-004,2025-12-06,loss_prevention,high,inventory,Cycle count variance exceeds threshold in high-shrink categories,resolved,store_manager
RPT-USR-004-005,USR-004,2025-09-30,facilities,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,resolved,mystery_shopper
RPT-USR-004-006,USR-004,2025-10-01,district_visit,high,planogram,Shelf tags misaligned with planogram — facings not compliant,resolved,loss_prevention
RPT-USR-004-007,USR-004,2026-02-14,mystery_shop,medium,staffing,Insufficient coverage during peak hours — checkout and service desk,open,loss_prevention
