store_id,week_end_date,labor_hours,shrink_pct,oos_rate,fulfillment_rate,customer_complaints,ops_row_id,embedding_model,embedding_dim
USR-001,2025-06-29,3374.4,0.0235,0.0635,0.94,1,USR-001_2025-06-29,text-embedding-3-large,3072
USR-001,2025-07-06,3691.8,0.0213,0.0669,0.926,0,USR-001_2025-07-06,text-embedding-3-large,3072
USR-001,2025-07-13,3183.4,0.0218,0.0792,0.963,1,USR-001_2025-07-13,text-embedding-3-large,3072
USR-001,2025-07-20,3318.6,0.0245,0.0735,0.99,0,USR-001_2025-07-20,text-embedding-3-large,3072
USR-001,2025-07-27,3142.5,0.0231,0.0846,0.94,0,USR-001_2025-07-27,text-embedding-3-large,3072
USR-001,2025-08-03,3572.4,0.0183,0.0847,0.975,1,USR-001_2025-08-03,text-embedding-3-large,3072
USR-001,2025-08-10,3175.8,0.0242,0.0637,0.96,1,USR-001_2025-08-10,text-embedding-3-large,3072
USR-001,2025-08-17,3353.6,0.0219,0.065,0.954,2,USR-001_2025-08-17,text-embedding-3-large,3072
USR-001,2025-08-24,3263.3,0.0201,0.056,0.99,2,USR-001_2025-08-24,text-embedding-3-large,3072
USR-001,2025-08-31,2860.0,0.0213,0.0757,0.927,0,USR-001_2025-08-31,text-embedding-3-large,3072
USR-001,2025-09-07,3334.3,0.0277,0.0735,0.945,0,USR-001_2025-09-07,text-embedding-3-large,3072
USR-001,2025-09-14,3573.9,0.0231,0.0705,0.934,5,USR-001_2025-09-14,text-embedding-3-large,3072
USR-001,2025-09-21,3361.5,0.0187,0.0872,0.93,1,USR-001_2025-09-21,text-embedding-3-large,3072
USR-001,2025-09-28,3587.6,0.0241,0.079,0.898,2,USR-001_2025-09-28,text-embedding-3-large,3072
USR-001,2025-10-05,3114.2,0.0246,0.0701,0.942,1,USR-001_2025-10-05,text-embedding-3-large,3072
USR-001,2025-10-12,3006.3,0.0249,0.0715,0.962,1,USR-001_2025-10-12,text-embedding-3-large,3072
USR-001,2025-10-19,3253.8,0.0164,0.0776,0.941,0,USR-001_2025-10-19,text-embedding-3-large,3072
USR-001,2025-10-26,2973.0,0.0223,0.0765,0.933,1,USR-001_2025-10-26,text-embedding-3-large,3072
USR-001,2025-11-02,3216.0,0.0229,0.0796,0.929,2,USR-001_2025-11-02,text-embedding-3-large,3072
USR-001,2025-11-09,3118.3,0.0235,0.0871,0.916,1,USR-001_2025-11-09,text-embedding-3-large,3072
USR-001,2025-11-16,3074.7,0.0208,0.0777,0.916,2,USR-001_2025-11-16,text-embedding-3-large,3072
USR-001,2025-11-23,3140.0,0.0238,0.0715,0.949,1,USR-001_2025-11-23,text-embedding-3-large,3072
USR-001,2025-11-30,2944.8,0.0247,0.0712,0.953,2,USR-001_2025-11-30,text-embedding-3-large,3072
USR-001,2025-12-07,3265.9,0.0235,0.0552,0.96,1,USR-001_2025-12-07,text-embedding-3-large,3072
USR-001,2025-12-14,3006.8,0.0187,0.0622,0.959,0,USR-001_2025-12-14,text-embedding-3-large,3072
USR-001,2025-12-21,3142.7,0.0214,0.0838,0.933,0,USR-001_2025-12-21,text-embedding-3-large,3072
USR-001,2025-12-28,3702.1,0.0199,0.0756,0.968,1,USR-001_2025-12-28,text-embedding-3-large,3072
USR-001,2026-01-04,3522.4,0.0225,0.0772,0.94,0,USR-001_2026-01-04,text-embedding-3-large,3072
USR-001,2026-01-11,3099.6,0.0189,0.0616,0.938,0,USR-001_2026-01-11,text-embedding-3-large,3072
USR-001,2026-01-18,3299.0,0.0204,0.0755,0.9,0,USR-001_2026-01-18,text-embedding-3-large,3072
USR-001,2026-01-25,3221.3,0.0203,0.062,0.924,1,USR-001_2026-01-25,text-embedding-3-large,3072
USR-001,2026-02-01,3408.9,0.0253,0.072,0.921,0,USR-001_2026-02-01,text-embedding-3-large,3072
USR-001,2026-02-08,3062.9,0.018,0.0765,0.99,2,USR-001_2026-02-08,text-embedding-3-large,3072
USR-001,2026-02-15,3258.0,0.0204,0.071,0.917,1,USR-001_2026-02-15,text-embedding-3-large,3072
USR-001,2026-02-22,3146.2,0.0274,0.0774,0.898,1,USR-001_2026-02-22,text-embedding-3-large,3072
USR-001,2026-03-01,3667.8,0.0174,0.0769,0.965,1,USR-001_2026-03-01,text-embedding-3-large,3072
USR-001,2026-03-08,3239.9,0.0179,0.06,0.921,0,USR-001_2026-03-08,text-embedding-3-large,3072
