sku_id,store_id,category,product_name,description,attributes,brand_type,in_stock,price_tier,unit_price,pack_size,aisle_zone,facings,weekly_units_sold,margin_pct,upc,vendor
SKU-USR-001-001,USR-001,Household,Ozark Trail Camping Chair,Foldable outdoor chair — seasonal general merchandise.,value,regional,True,value,6.24,1 lb,Aisle 15–17 — Household,2,43,0.124,663740787476,Regional Foods LLC
SKU-USR-001-002,USR-001,Health & Beauty,Organic Lip Balm 3-Pack,Beeswax and coconut oil — USDA organic.,"organic,premium",national,True,premium,63.52,8 oz,Aisle 18–22 — HBC,2,15,0.14,108209323814,Regional Foods LLC
SKU-USR-001-003,USR-001,Snacks,Classic Potato Chips Family Size,Crispy kettle chips — original sea salt flavor.,value,regional,True,value,9.13,1 lb,Aisle 14 — Impulse / Endcap,3,36,0.194,868797356712,Regional Foods LLC
SKU-USR-001-004,USR-001,Grocery,Marketside Fresh Sub Kit,Deli sub ingredients — ready for assembly.,value,regional,True,value,4.74,24 ct,Aisle 4–12 — Center Store,6,42,0.277,373433168911,Regional Foods LLC
SKU-USR-001-005,USR-001,Frozen,Family Pizza Night 3-Pack,"Frozen pizzas — cheese, pepperoni, veggie variety.",value,national,True,value,9.34,2-liter,Aisle 23–25 — Freezer Bank,7,52,0.215,638485849020,Global Consumer Goods
SKU-USR-001-006,USR-001,Dairy,Great Value Whole Milk Gallon,Store-brand vitamin D milk — everyday low price.,"private_label,value",private_label,True,value,10.29,1 gallon,Aisle 1 — Cooler Wall,4,44,0.21,633300691806,Walmart DC
SKU-USR-001-007,USR-001,Fresh Produce,Bananas per lb,Everyday fruit staple — ripen at home.,value,national,True,value,10.66,12 oz,Produce Section — Front Perimeter,5,44,0.176,362690119821,National Brands Co
SKU-USR-001-008,USR-001,Dairy,Farm Fresh 2% Milk Gallon,Locally sourced milk — vitamin D fortified.,value,national,True,value,6.7,2-liter,Aisle 1 — Cooler Wall,2,43,0.168,365566796375,Regional Foods LLC
SKU-USR-001-009,USR-001,Household,Mainstays Bath Towel Set,Soft cotton towels — home basics collection.,"private_label,value",private_label,True,value,2.6,16 oz,Aisle 15–17 — Household,2,46,0.208,475191380693,Walmart DC
SKU-USR-001-010,USR-001,Household,Concentrated Laundry Detergent,HE compatible — 64 load bottle.,value,national,True,value,8.51,12 oz,Aisle 15–17 — Household,4,36,0.187,656995276350,Regional Foods LLC
SKU-USR-001-011,USR-001,Snacks,Store Brand Tortilla Chips,Restaurant style chips — great for parties.,"private_label,value",private_label,True,value,6.67,12 oz,Aisle 14 — Impulse / Endcap,4,46,0.198,404642275296,Walmart DC
SKU-USR-001-012,USR-001,Beverages,Cola 2-Liter Bottle,Classic cola — promotional multipack available.,value,national,True,value,6.83,12 oz,Aisle 2–3 — Cooler & Shelf,2,48,0.141,255729722244,National Brands Co
