store_id,fulfillment_rate,oos_rate,shrink_pct,labor_hours_4w,complaints_4w,ops_weeks_count,review_count,positive_review_pct,negative_review_pct,news_count,local_news_count,competitor_mention_count,negative_news_count,product_count,product_in_stock_pct,report_count,high_severity_report_count,reviews_present,news_present,reports_present,products_present,ops_weekly_present,structured_ops_present
USR-001,0.931,0.07715,0.021275,3192.15,3,52,19,0.15789473684210525,0.2631578947368421,22,20,1,1,12,1.0,6,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-002,0.954,0.034825,0.017925,1783.925,9,52,16,0.125,0.125,21,19,1,1,15,1.0,7,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-003,0.93575,0.052925,0.02665,971.85,4,52,19,0.10526315789473684,0.10526315789473684,16,12,1,3,15,1.0,11,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-004,0.93825,0.027549999999999998,0.016649999999999998,3203.55,4,52,16,0.125,0.0,16,11,2,3,18,1.0,12,4,1.0,1.0,1.0,1.0,1.0,1.0
USR-005,0.9455,0.06709999999999999,0.0258,957.2,3,52,9,0.0,0.1111111111111111,16,15,1,0,16,1.0,15,4,1.0,1.0,1.0,1.0,1.0,1.0
USR-006,0.918,0.038225,0.0172,1207.35,6,52,17,0.11764705882352941,0.11764705882352941,18,16,2,0,16,1.0,12,3,1.0,1.0,1.0,1.0,1.0,1.0
USR-007,0.948,0.03655,0.017724999999999998,1391.35,9,52,17,0.0,0.11764705882352941,17,14,0,3,17,1.0,10,2,1.0,1.0,1.0,1.0,1.0,1.0
USR-008,0.92475,0.050275,0.029525,905.475,11,52,16,0.0,0.0625,18,16,2,0,17,1.0,5,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-009,0.9472499999999999,0.04935,0.030950000000000002,1614.775,7,52,15,0.0,0.0,17,16,0,1,16,0.9375,13,1,1.0,1.0,1.0,1.0,1.0,1.0
USR-010,0.94375,0.031775,0.016274999999999998,1853.5,4,52,16,0.0,0.0625,20,17,1,2,16,0.9375,9,1,1.0,1.0,1.0,1.0,1.0,1.0
