news_id,store_id,city,state,published_date,headline,summary,event_type,demand_impact,source
NEWS-00001,USR-001,New York,NY,2026-04-29,"Walmart is changing its NY stores. Vestal, JC remodels start soon - Press & Sun-Bulletin","Walmart is changing its NY stores. Vestal, JC remodels start soon Press & Sun-Bulletin",local_news,neutral,Press & Sun-Bulletin
NEWS-00002,USR-001,New York,NY,2026-05-11,Retailers Are Making Expensive Bets That Shoppers Still Want to Go to Stores - The New York Times,Retailers Are Making Expensive Bets That Shoppers Still Want to Go to Stores The New York Times,local_news,neutral,The New York Times
NEWS-00003,USR-001,New York,NY,2026-04-24,"Walmart to remodel 23 stores in New York, including 2 in Finger Lakes - Star-Gazette","Walmart to remodel 23 stores in New York, including 2 in Finger Lakes Star-Gazette",local_news,neutral,Star-Gazette
NEWS-00004,USR-001,New York,NY,2026-04-16,"Walmart Deepens Commitment to New York, Fueling Long-Term Impact and Future Statewide Investments - Business Wire","Walmart Deepens Commitment to New York, Fueling Long-Term Impact and Future Statewide Investments Business Wire",local_news,neutral,Business Wire
NEWS-00005,USR-001,New York,NY,2026-04-16,"Walmart is remodeling 24 New York stores in 2026. Here’s what’s changing, and where - Syracuse.com","Walmart is remodeling 24 New York stores in 2026. Here’s what’s changing, and where Syracuse.com",local_news,neutral,Syracuse.com
NEWS-00006,USR-001,New York,NY,2026-04-24,Walmart to remodel 24 NY stores. Which one is in Westchester? - Lohud,Walmart to remodel 24 NY stores. Which one is in Westchester? Lohud,local_news,neutral,Lohud
NEWS-00007,USR-001,New York,NY,2026-06-22,Fat Joe launches monthly program to distribute free groceries at NYC stores - Spectrum News NY1,Fat Joe launches monthly program to distribute free groceries at NYC stores Spectrum News NY1,local_news,neutral,Spectrum News NY1
NEWS-00008,USR-001,New York,NY,2026-06-23,Montreal cop killed after rampaging incel gunman ambushed officers in heavily Jewish neighborhood - New York Post,Montreal cop killed after rampaging incel gunman ambushed officers in heavily Jewish neighborhood New York Post,local_news,neutral,New York Post
NEWS-00009,USR-001,New York,NY,2026-06-20,The Mayor Who Loves Bodegas Is Building Taxpayer-Funded Competitors - Reason Magazine,The Mayor Who Loves Bodegas Is Building Taxpayer-Funded Competitors Reason Magazine,new_competitor,neutral,Reason Magazine
NEWS-00010,USR-001,New York,NY,2026-06-17,"The Bronx will get first city-owned grocery store, Mamdani says - Gothamist","The Bronx will get first city-owned grocery store, Mamdani says Gothamist",local_news,neutral,Gothamist
NEWS-00011,USR-001,New York,NY,2026-06-21,Blake Lively grocery shops while former BFF Taylor Swift throws bachelorette party with closest pals - Page Six,Blake Lively grocery shops while former BFF Taylor Swift throws bachelorette party with closest pals Page Six,local_news,neutral,Page Six
NEWS-00012,USR-001,New York,NY,2026-06-21,NYC Mayor’s city-owned grocery store plans moving forward - PIX11,NYC Mayor’s city-owned grocery store plans moving forward PIX11,local_news,neutral,PIX11
NEWS-00013,USR-001,New York,NY,2026-06-09,The Joy of Shopping in Los Angeles - The New York Times,The Joy of Shopping in Los Angeles The New York Times,local_news,neutral,The New York Times
NEWS-00014,USR-001,New York,NY,2026-06-18,"Disney Store Times Square: New Arrivals, Exclusives, and Events - Disney Parks Blog","Disney Store Times Square: New Arrivals, Exclusives, and Events Disney Parks Blog",local_news,neutral,Disney Parks Blog
NEWS-00015,USR-001,New York,NY,2025-12-09,Reporter’s notebook: New York City’s last department stores - Retail Dive,Reporter’s notebook: New York City’s last department stores Retail Dive,local_news,neutral,Retail Dive
NEWS-00016,USR-001,New York,NY,2026-06-03,Ulta Beauty inks $400M Times Square lease at Jeff Sutton’s 1551 Broadway - The Real Deal,Ulta Beauty inks $400M Times Square lease at Jeff Sutton’s 1551 Broadway The Real Deal,construction,negative,The Real Deal
NEWS-00017,USR-001,New York,NY,2026-05-24,"Here’s which retailers, grocery stores and pharmacies are open and closed on Memorial Day - New York Post","Here’s which retailers, grocery stores and pharmacies are open and closed on Memorial Day New York Post",local_news,neutral,New York Post
NEWS-00018,USR-001,New York,NY,2026-04-14,Major Convenience Store Shakeup Could Affect NYC - Patch,Major Convenience Store Shakeup Could Affect NYC Patch,local_news,neutral,Patch
