id,store_id,modality,source_id,retailer,content,embedding_model,embedding_dim
news_NEWS-00502,USR-029,news,NEWS-00502,Walgreens,"Store USR-029 | Sacramento, CA | Date: 2025-12-30 | Headline: Ban on Plastic Bags being Provided at Grocery Store Checkouts Takes Effect on Thursday - California State Portal | CA.gov | Summary: Ban on Plastic Bags being Provided at Grocery Store Checkouts Takes Effect on Thursday California State Portal | CA.gov | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00511,USR-030,news,NEWS-00511,Home Depot,"Store USR-030 | Kansas City, MO | Date: 2026-05-13 | Headline: The best Memorial Day military discounts and freebies this year - USA Today | Summary: The best Memorial Day military discounts and freebies this year USA Today | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00527,USR-031,news,NEWS-00527,Lowe's,"Store USR-031 | Atlanta, GA | Date: 2025-11-25 | Headline: Black Friday 2025: What time do stores open? - 11Alive.com | Summary: Black Friday 2025: What time do stores open? 11Alive.com | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00532,USR-031,news,NEWS-00532,Lowe's,"Store USR-031 | Atlanta, GA | Date: 2026-04-01 | Headline: Easter 2026 Grocery And Retail Hours: What’s Open And Closed In GA - Patch | Summary: Easter 2026 Grocery And Retail Hours: What’s Open And Closed In GA Patch | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00536,USR-031,news,NEWS-00536,Lowe's,"Store USR-031 | Atlanta, GA | Date: 2026-03-26 | Headline: These GA Stores Among More Than 1,400 In US Expected To Close In 2026 - Patch | Summary: These GA Stores Among More Than 1,400 In US Expected To Close In 2026 Patch | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00543,USR-032,news,NEWS-00543,Best Buy,"Store USR-032 | Miami, FL | Date: 2026-05-28 | Headline: Best Buy’s incoming CEO sees customer experience as core to its evolution - Customer Experience Dive | Summary: Best Buy’s incoming CEO sees customer experience as core to its evolution Customer Experience Dive | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00548,USR-032,news,NEWS-00548,Best Buy,"Store USR-032 | Miami, FL | Date: 2026-05-28 | Headline: A $20 smoothie and $67 steak? Prices at Miami store hit the wallet — and a nerve - Miami Herald | Summary: A $20 smoothie and $67 steak? Prices at Miami store hit the wallet — and a nerve Miami Herald | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00598,USR-034,news,NEWS-00598,Sam's Club,"Store USR-034 | Orlando, FL | Date: 2026-05-09 | Headline: Costco vs. Sam's Club: Which store wins on 5 everyday staples? | Summary: Costco and Sam's Club are the most frequented stores for savings on everyday items. While both retailers promise lower per-unit prices on many items, which one actually delivers more savings on items ... | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00611,USR-035,news,NEWS-00611,Aldi,"Store USR-035 | Cleveland, OH | Date: 2025-12-16 | Headline: Northeast Ohio loses more Family Dollar stores - News 5 Cleveland WEWS | Summary: Northeast Ohio loses more Family Dollar stores News 5 Cleveland WEWS | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00628,USR-036,news,NEWS-00628,H-E-B,"Store USR-036 | Pittsburgh, PA | Date: 2026-05-22 | Headline: Disney opening limited-time Pennsylvania retail store - ABC27 | Summary: Disney opening limited-time Pennsylvania retail store ABC27 | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00645,USR-037,news,NEWS-00645,Meijer,"Store USR-037 | St. Louis, MO | Date: 2026-06-12 | Headline: Retail pharmacy to close St. Louis County store - KSDK | Summary: Retail pharmacy to close St. Louis County store KSDK | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00658,USR-038,news,NEWS-00658,Safeway,"Store USR-038 | Cincinnati, OH | Date: 2026-06-15 | Headline: Publix to open second store in NKY, and it's closer to Cincinnati - Cincinnati Enquirer | Summary: Publix to open second store in NKY, and it's closer to Cincinnati Cincinnati Enquirer | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00660,USR-038,news,NEWS-00660,Safeway,"Store USR-038 | Cincinnati, OH | Date: 2026-05-05 | Headline: Publix sets opening date for Cold Spring store, its second in Greater Cincinnati - The Business Journals | Summary: Publix sets opening date for Cold Spring store, its second in Greater Cincinnati The Business Journals | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00673,USR-039,news,NEWS-00673,Sprouts,"Store USR-039 | Raleigh, NC | Date: 2025-07-11 | Headline: Popular grocer plots second Raleigh store - The Business Journals | Summary: Popular grocer plots second Raleigh store The Business Journals | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00676,USR-039,news,NEWS-00676,Sprouts,"Store USR-039 | Raleigh, NC | Date: 2026-06-18 | Headline: What’s closed on Juneteenth in the Triangle? Mail, grocery stores, banks & more - Raleigh News & Observer | Summary: What’s closed on Juneteenth in the Triangle? Mail, grocery stores, banks & more Raleigh News & Observer | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00684,USR-039,news,NEWS-00684,Sprouts,"Store USR-039 | Raleigh, NC | Date: 2026-03-10 | Headline: Saks Fifth Avenue closing Raleigh store in May - Business North Carolina | Summary: Saks Fifth Avenue closing Raleigh store in May Business North Carolina | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00685,USR-039,news,NEWS-00685,Sprouts,"Store USR-039 | Raleigh, NC | Date: 2026-06-16 | Headline: National chain is closing 2 NC stores, including one in Triangle. What we know - Raleigh News & Observer | Summary: National chain is closing 2 NC stores, including one in Triangle. What we know Raleigh News & Observer | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00689,USR-040,news,NEWS-00689,Trader Joe's,"Store USR-040 | New Orleans, LA | Date: 2026-05-21 | Headline: Trader Joe's Plans Over 20 New Stores Across 14 States, Including New Spots In Wasington - NewsRadio 560 KPQ | Summary: Trader Joe's Plans Over 20 New Stores Across 14 States, Including New Spots In Wasington NewsRadio 560 KPQ | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00696,USR-040,news,NEWS-00696,Trader Joe's,"Store USR-040 | New Orleans, LA | Date: 2025-11-27 | Headline: Here are the stores open on Thanksgiving in New Orleans - WDSU | Summary: Here are the stores open on Thanksgiving in New Orleans WDSU | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00706,USR-040,news,NEWS-00706,Trader Joe's,"Store USR-040 | New Orleans, LA | Date: 2026-05-21 | Headline: Trader Joe’s expands with 25 new stores across 14 states — including 2 in NY | Summary: Trader Joe’s is expanding its footprint with 25 new locations across 14 states, adding to its previously announced growth pipeline, the company said. The popular California-based grocery chain ... | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00720,USR-041,news,NEWS-00720,Walmart,"Store USR-041 | Salt Lake City, UT | Date: 2025-12-24 | Headline: Here's what stores are open, and which ones are closed, on Christmas - KSL News | Summary: Here's what stores are open, and which ones are closed, on Christmas KSL News | Impact: neutral",text-embedding-3-large,3072
news_NEWS-00734,USR-042,news,NEWS-00734,Target,"Store USR-042 | Birmingham, AL | Date: 2026-03-02 | Headline: Popular grocery store announces closures in Alabama amid restructuring - The Independent | Summary: Popular grocery store announces closures in Alabama amid restructuring The Independent | Impact: negative",text-embedding-3-large,3072
news_NEWS-00751,USR-043,news,NEWS-00751,Kroger,"Store USR-043 | Richmond, VA | Date: 2026-06-16 | Headline: Tiffany & Co. closing its only Richmond store at Stony Point Fashion Park - WTVR.com | Summary: Tiffany & Co. closing its only Richmond store at Stony Point Fashion Park WTVR.com | Impact: neutral",text-embedding-3-large,3072
